SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
PI,SÃO JOSÉ DO PEIXE,4982.0,80.24,20.15,1.81,10.98
CE,FORQUILHA,31668.0,61.98,3.61,18.29,10.95
MG,BELO VALE,13068.0,60.03,8.08,13.79,10.94
BA,CATURAMA,11354.0,81.09,4.16,17.7,10.93
CE,GUAIÚBA,33512.0,71.68,12.37,9.45,10.91
BA,ESPLANADA,41258.0,73.55,7.75,14.05,10.9
BA,JUAZEIRO,261376.0,62.44,9.05,12.75,10.9
MG,MONSENHOR PAULO,10904.0,52.19,14.47,7.3,10.89
MG,JUVENÍLIA,7676.0,62.22,3.91,17.85,10.88
PB,SALGADO DE SÃO FÉLIX,15610.0,71.68,17.49,4.25,10.87
MG,CHAPADA DO NORTE,11526.0,83.09,1.65,20.04,10.85
RN,LAGOA NOVA,19232.0,72.42,17.18,4.51,10.85
PB,MARCAÇÃO,11632.0,83.19,7.86,13.77,10.81
BA,SÃO FÉLIX,16876.0,81.8,13.95,7.68,10.81
MG,SANTA VITÓRIA,26378.0,50.28,10.02,11.61,10.81
MG,CATAGUASES,82750.0,56.2,17.12,4.49,10.8
RN,BODÓ,5534.0,79.91,15.11,6.47,10.79
RS,PEDRO OSÓRIO,10844.0,61.27,8.04,13.5,10.77
MA,TURIAÇU,42480.0,77.31,13.74,7.8,10.77
AL,PÃO DE AÇÚCAR,28228.0,72.26,3.52,18.0,10.76
BA,CANSANÇÃO,45846.0,81.78,12.77,8.72,10.74
PB,SAPÉ,60354.0,63.73,6.48,14.94,10.71
PB,SOUSA,78738.0,67.45,15.95,5.48,10.71
RS,JÚLIO DE CASTILHOS,24622.0,50.86,8.36,13.04,10.7
SE,AREIA BRANCA,23694.0,69.51,6.99,14.42,10.7
MG,ARAÇUAÍ,37860.0,63.66,6.63,14.77,10.7
BA,SEBASTIÃO LARANJEIRAS,11214.0,70.47,3.42,17.96,10.69
BA,WAGNER,10636.0,74.94,5.66,15.7,10.68
MA,AMARANTE DO MARANHÃO,40916.0,52.5,6.88,14.48,10.68
PI,FLORIANO,71496.0,71.79,11.69,9.66,10.67
SE,MACAMBIRA,10614.0,63.11,5.67,15.66,10.67
MG,SIMÃO PEREIRA,4986.0,62.2,11.03,10.31,10.67
RN,TIBAU,10670.0,62.84,11.6,9.69,10.65
PI,SÃO PEDRO DO PIAUÍ,18188.0,71.94,13.8,7.5,10.65
RN,FLORÂNIA,13492.0,71.24,15.77,5.5,10.64
GO,IVOLÂNDIA,4276.0,54.02,17.07,4.21,10.64
PB,EMAS,5206.0,75.16,3.84,17.4,10.62
AM,BENJAMIN CONSTANT,33852.0,78.76,8.64,12.58,10.61
PI,JOÃO COSTA,5566.0,84.48,18.18,3.02,10.6
RN,SERRA DO MEL,19470.0,55.66,10.91,10.27,10.59
BA,MONTE SANTO,64860.0,85.75,4.76,16.41,10.58
BA,BIRITINGA,20006.0,86.27,11.85,9.31,10.58
