SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
MG,MOEMA,10344.0,45.65,5.09,12.53,8.81
CE,MORRINHOS,28522.0,47.11,11.96,5.62,8.79
MG,POUSO ALEGRE,173906.0,35.76,4.64,12.92,8.78
PR,CAMBIRA,10242.0,35.64,12.44,5.1,8.77
SP,SANTA ROSA DE VITERBO,25748.0,38.6,6.67,11.02,8.77
RJ,BOM JARDIM,34406.0,38.47,11.1,6.42,8.76
PR,PIRAÍ DO SUL,30320.0,33.12,4.95,12.56,8.75
RS,LAGOA BONITA DO SUL,3838.0,48.57,2.81,14.7,8.75
MG,NEPOMUCENO,31924.0,43.01,5.51,11.99,8.75
GO,FORMOSO,6998.0,47.25,13.8,3.69,8.75
MG,CRUZÍLIA,20112.0,48.47,8.09,9.39,8.74
SP,ESTRELA D OESTE,9843.0,28.25,10.17,7.32,8.74
RS,INDEPENDÊNCIA,9302.0,35.43,3.59,13.89,8.74
SP,TRABIJU,2208.0,47.65,3.96,13.82,8.74
GO,MATRINCHÃ,5910.0,47.47,13.5,3.96,8.73
MG,SÃO GONÇALO DO PARÁ,13992.0,44.53,4.43,13.04,8.73
RS,ESPUMOSO,21086.0,31.58,8.11,9.35,8.73
ES,CONCEIÇÃO DO CASTELO,15280.0,20.23,9.57,7.88,8.72
MG,FAMA,4738.0,34.82,10.3,7.13,8.72
SP,SANTA RITA D OESTE,2788.0,33.49,7.77,9.69,8.72
ES,GUAÇUÍ,32868.0,38.0,9.27,8.15,8.71
SP,MINEIROS DO TIETÊ,11707.0,25.62,5.56,11.64,8.71
RS,SÃO VALENTIM DO SUL,3706.0,28.21,10.09,7.29,8.69
MG,CURRAL DE DENTRO,9290.0,47.8,6.44,10.91,8.68
RS,SÃO VICENTE DO SUL,11070.0,39.08,6.21,11.15,8.68
PA,ITAITUBA,120444.0,32.98,6.44,10.92,8.68
AM,GUAJARÁ,15954.0,32.3,2.21,15.14,8.67
SC,IMBUIA,8608.0,27.88,9.6,7.74,8.67
SC,AURORA,8890.0,19.62,10.75,6.59,8.67
SP,ALTO ALEGRE,4282.0,26.44,6.66,11.19,8.66
MG,CONQUISTA,8794.0,43.65,5.44,11.89,8.66
MG,PASSA QUATRO,21270.0,39.54,5.52,11.8,8.66
SP,COSMORAMA,9864.0,28.51,6.48,10.84,8.65
PR,SERTANÓPOLIS,21264.0,23.19,10.51,6.78,8.64
SP,BARRA DO TURVO,8161.0,47.93,5.97,11.42,8.64
MT,INDIAVAÍ,3036.0,34.82,8.17,9.09,8.63
RS,BOM RETIRO DO SUL,16556.0,31.69,6.95,10.3,8.63
SP,PIQUEROBI,4047.0,42.11,3.75,13.66,8.62
MS,CAARAPÓ,32724.0,33.44,7.06,10.13,8.6
RS,BARRA FUNDA,4602.0,37.31,3.39,13.82,8.6
MS,BONITO,27124.0,35.09,9.56,7.62,8.59
SP,GÁLIA,7191.0,39.5,7.28,9.86,8.59
RS,ROQUE GONZALES,9280.0,38.72,3.88,13.3,8.59
PR,PITANGUEIRAS,4126.0,36.37,12.41,4.75,8.58
RJ,PINHEIRAL,28982.0,46.14,9.84,7.33,8.58
SP,DIVINOLÂNDIA,13430.0,27.79,8.99,8.17,8.58
MS,JUTI,8332.0,44.71,6.0,11.16,8.58
GO,PETROLINA DE GOIÁS,11464.0,36.92,13.01,4.12,8.57
RS,VICTOR GRAEFF,4248.0,33.38,5.41,11.72,8.57
SP,INDAIATUBA,266745.0,31.36,10.64,6.45,8.57
RS,MUITOS CAPÕES,4374.0,30.48,3.7,13.44,8.57
MG,TARUMIRIM,15016.0,47.04,3.37,13.76,8.56
MS,NIOAQUE,16194.0,41.82,9.41,7.71,8.56
ES,BAIXO GUANDU,37242.0,38.11,14.72,2.4,8.56
SP,BARIRI,33345.0,22.34,7.62,9.47,8.55
PR,JOAQUIM TÁVORA,14584.0,28.57,14.02,3.07,8.54
MG,CHÁCARA,6138.0,48.32,12.9,4.17,8.54
SP,VOTUPORANGA,96199.0,27.58,10.48,6.66,8.52
RS,MATO QUEIMADO,2690.0,41.05,6.02,11.0,8.51
RS,PAIM FILHO,6462.0,34.11,7.71,9.29,8.5
RS,GIRUÁ,21198.0,32.87,3.27,13.71,8.49
RS,SEBERI,15360.0,32.89,4.15,12.83,8.49
GO,SANTO ANTÔNIO DO DESCOBERTO,68012.0,38.15,13.68,3.29,8.49
MG,DIONÍSIO,9800.0,47.44,11.78,5.18,8.48
RS,TAPERA,13558.0,39.07,7.76,9.19,8.47
MG,PASSOS,124282.0,41.9,4.55,12.39,8.47
MG,LUZ,21562.0,37.12,8.37,8.57,8.47
RS,CONDOR,9492.0,34.6,5.58,11.36,8.47
MG,ANDRADAS,47254.0,29.31,6.56,10.37,8.46
RS,ESMERALDA,4254.0,35.45,7.38,9.54,8.46
SP,GUARIBA,37702.0,41.17,8.22,8.69,8.45
SP,SALESÓPOLIS,21466.0,32.41,6.7,10.27,8.44
RS,SEGREDO,9278.0,42.22,3.75,13.13,8.44
ES,VIANA,84086.0,39.95,8.0,8.88,8.44
SP,TAPIRATIBA,13889.0,42.92,9.44,7.43,8.44
MG,POCRANE,11210.0,43.82,1.84,15.04,8.44
SP,ITARARÉ,47984.0,31.99,9.38,7.47,8.43
SC,BRAÇO DO TROMBUDO,5442.0,14.15,14.41,2.43,8.42
SP,BOREBI,2945.0,41.78,8.06,8.78,8.42
RS,RODEIO BONITO,8702.0,34.51,5.91,10.94,8.42
GO,CRISTALINA,53620.0,30.4,14.35,2.48,8.41
PR,PEROBAL,8620.0,22.41,4.78,12.04,8.41
PR,LAPA,60462.0,36.13,8.77,8.03,8.4
MT,PONTES E LACERDA,46830.0,20.98,13.43,3.36,8.4
MS,PORTO MURTINHO,11240.0,44.28,11.71,5.05,8.38
SP,LINDÓIA,7800.0,18.71,7.32,9.33,8.38
MG,ARCOS,52052.0,38.19,7.47,9.26,8.37
SP,PONGAÍ,4062.0,24.22,7.66,9.14,8.37
MG,CONSELHEIRO PENA,23578.0,41.1,3.75,12.97,8.36
MG,GRUPIARA,2588.0,35.35,12.6,4.1,8.35
PR,CASTRO,89302.0,31.12,6.51,10.16,8.34
RS,ÁUREA,5604.0,39.88,4.64,12.03,8.33
RS,FLORIANO PEIXOTO,3086.0,35.48,2.46,14.19,8.33
SP,REDENÇÃO DA SERRA,5409.0,42.96,8.22,8.42,8.32
MS,GUIA LOPES DA LAGUNA,11476.0,38.39,6.29,10.35,8.32
MG,ITAJUBÁ,113548.0,30.13,7.27,9.35,8.31
ES,LARANJA DA TERRA,15334.0,29.8,12.47,4.15,8.31
MG,PEQUI,5990.0,45.61,7.75,8.88,8.31
MG,MATUTINA,5048.0,33.13,8.6,8.0,8.3
MS,TERENOS,20912.0,42.85,8.64,7.97,8.3
MS,SIDROLÂNDIA,51334.0,39.43,9.69,6.91,8.3
ES,DOMINGOS MARTINS,47022.0,26.55,9.34,7.25,8.29
GO,VIANÓPOLIS,17078.0,31.7,13.14,3.36,8.25
PR,SÃO JOSÉ DA BOA VISTA,7438.0,30.35,13.98,2.53,8.25
SP,ITABERÁ,20798.0,41.67,5.83,10.71,8.24
MG,RIO PARANAÍBA,16174.0,45.36,10.1,6.38,8.24
